path_no,x(m),y(m)
308,5.104440522530621,0.6581147640414763
309,5.13036579807374,0.6580487416097507
310,5.156377884414877,0.6579871059145298
311,5.1824420170367596,0.6579259438038089
312,5.208408004874276,0.6578629614645118
313,5.234334091368179,0.6577956749129534
314,5.260347169826252,0.6577326797099649
315,5.286411075137306,0.6576700824289406
316,5.312375140349665,0.6576053568411515
317,5.33827256511489,0.6575796824530463
318,5.364257833841085,0.65768264443542
319,5.390279205903545,0.6579040579614122
320,5.416222007711893,0.6582298321814861
321,5.442127320495567,0.65863785243683
322,5.468113904342359,0.6591420316872224
323,5.494147588371252,0.6597453246353892
324,5.520090583609597,0.6604204586087737
325,5.54595897864477,0.6611763653020764
326,5.571940845490291,0.6620116264298601
327,5.597956607965182,0.6629178074776255
328,5.623906215006101,0.6638719043427934
329,5.649779460967709,0.6648677291692539
330,5.67576385624393,0.6659056378366444
331,5.701775277221812,0.6669738709818175
332,5.72772574667455,0.6680593166216756
333,5.753596646508062,0.6691982292169014
334,5.779573947148003,0.670402899508883
335,5.8055727508794766,0.6716389870267246
336,5.831511874172967,0.6729301180289993
337,5.857333323525542,0.6742694479165711
338,5.883311655514083,0.6756240679484907
339,5.909306902804611,0.6769804169894604
340,5.935264579290878,0.6783054312581712
341,5.961144659765098,0.6796194588845044
342,5.987126697459637,0.6809392171685659
343,6.013124006679087,0.6822604816157639
344,6.039081946849901,0.6835471483743719
345,6.064906443419492,0.6847848496605587
346,6.09091884609887,0.6859343777913007
347,6.116971359193868,0.6870083280453182
348,6.142962291720298,0.6879109193808051
349,6.1689019688641045,0.6886694368442768
350,6.194953187239117,0.6892981765481078
351,6.22101511256661,0.6898447001729638
352,6.246951533322319,0.6903919421447559
353,6.272857143960435,0.6909662379838595
354,6.2988728787682815,0.6915508195240323
355,6.324927307938094,0.692137802867014
356,6.350867701964369,0.6927034018611942
357,6.376787641334372,0.6932637095789922
358,6.402805772337398,0.6938286195303938
359,6.428863562708086,0.6943929786348376
360,6.45480076392761,0.6949298817630446
361,6.480726523459826,0.6954572681271349
362,6.506747323252978,0.6959836818366792
363,6.532809668559081,0.6965064790437117
364,6.558742799562115,0.6969969680787101
365,6.584672052430114,0.6974782374859874
366,6.61069521488665,0.6979581769707847
367,6.63675942765393,0.698434476641931
368,6.662687882977326,0.6988796603621583
369,6.6886207512521425,0.6993161414381389
370,6.714649340296176,0.6997460268505125
371,6.740716305969066,0.7001606925480554
372,6.766638852974881,0.7005503392347666
373,6.792575200192281,0.7009400239317979
374,6.818607096771459,0.7013177519297751
375,6.843989445352861,0.7016768425719895
376,6.869176167901973,0.7020349505693735
377,6.895048227927127,0.702393128510198
378,6.921076038923784,0.7027240743297655
379,6.947151669527157,0.7030421410664295
380,6.973079403184963,0.7033323764914425
381,6.999017002308149,0.7036069410622816
382,7.025048539322544,0.703878251596423
383,7.051116681474887,0.7041410803698698
384,7.07705440705721,0.7044025476812634
385,7.103014518720398,0.704593637307177
386,7.129070360536405,0.7046726536425566
387,7.155186746394446,0.7046571552020494
388,7.181125776574458,0.7045338783778304
389,7.2070836044632545,0.7043122757729676
390,7.2331407820810725,0.7039913559716059
391,7.259213274098452,0.7035997990130877
392,7.285118521330331,0.7031772119035729
393,7.311067100676518,0.7026771065715531
394,7.33709553547104,0.7021262913967875
395,7.363161729690016,0.701571853949396
396,7.389077510842148,0.7009992563027829
397,7.41501785592033,0.7003612952504646
398,7.4410491173785696,0.6996788001350499
399,7.467136206781299,0.6989440906479369
400,7.493071593302346,0.6981402300956925
401,7.519005858208171,0.6972858279954756
402,7.545031753201454,0.6964079746126913
403,7.571107134782844,0.6954891074585334
404,7.597032985500042,0.6945406916987165
405,7.622964377767959,0.6935679679380752
406,7.648987261385651,0.6925679073842689
407,7.67505022240589,0.6915390367229345
408,7.700955360740087,0.6905115266992395
409,7.726882356380112,0.6894722340656999
410,7.752898582374592,0.6884304647232993
411,7.7789574212775205,0.6873815775310147
412,7.804863780922276,0.6863375569591603
413,7.8307908389665215,0.6852883553269403
414,7.856807936910829,0.6842366314490209
415,7.882865509846124,0.6831777363060276
416,7.908770248175581,0.6821237419568843
417,7.934696057425372,0.6810688873709049
418,7.960711407600743,0.6800251121813633
419,7.9867608447629665,0.6790017600279643
420,8.012657180979076,0.6780207777446996
421,8.038582178154748,0.6770715649128776
422,8.064602142571946,0.6761435772041048
423,8.090656592510861,0.6752303763323347
424,8.11656413330338,0.6743354387831298
425,8.142493980884925,0.6734684478884494
426,8.168517281441051,0.6726183026715054
427,8.194564642547613,0.6717967386818117
428,8.220462919693642,0.671020487423359
429,8.246390903247784,0.6702867614905371
430,8.27241796008471,0.6695920701285165
431,8.2984630521498,0.6689268194804044
432,8.324359361766502,0.6682883572816528
433,8.350296572477866,0.6676616888206445
434,8.3763270211851,0.6670660803467581
435,8.402369907475483,0.6664987752519311
436,8.4282837380904,0.6659462318389824
437,8.454227282317833,0.6654014396952536
438,8.480260276528638,0.6648779017382153
439,8.5062945978611,0.6643928958076069
440,8.532200003445588,0.6639428012352605
441,8.55814007841241,0.6635103829066513
442,8.584174920701523,0.6631149498201339
443,8.61021059193935,0.6627467220787678
444,8.6361469942946,0.6623745422459636
445,8.662098259749643,0.6619968830521659
446,8.688139663763378,0.6616210322641115
447,8.714172343427508,0.6612425007367938
448,8.74011779518766,0.660865547965215
449,8.766067007797567,0.6605031416163576
450,8.792108457285998,0.6601536961572992
451,8.81812890497942,0.65981813472391
452,8.844050799007297,0.6595159347922807
453,8.869998190956267,0.6592370301187276
454,8.896041302735636,0.6589798949761857
455,8.922065494990541,0.6587209364976382
456,8.948009135494356,0.6584558027296395
457,8.973964932711722,0.6581856125371467
458,9.000007087547877,0.6579250356725644
459,9.02602394497832,0.6576893221742427
460,9.051951072118507,0.6574684886371919
461,9.077908090470464,0.6572433357980476
462,9.103954160826849,0.6570209104854453
463,9.129973824211014,0.6567952643347778
464,9.155925915587094,0.656567600288358
465,9.181882417711899,0.6563489818571011
466,9.207928735204009,0.6561393053675348
467,9.233940152817915,0.6559388395486263
468,9.25987144418611,0.655763242148818
469,9.285827562220836,0.6556026740467272
470,9.311874826133238,0.6554572498831893
471,9.337898275948024,0.6553095180671141
472,9.363848608558913,0.6551541313352872
473,9.389810568154585,0.6549949188154279
474,9.41585633972355,0.6548459050310618
475,9.441876587155527,0.6547132111556971
